edge_type	from	to	weight	start_cyto	start_exhau	end_cyto	end_exhau
CD4_CXCL13->CD4_KLRB1	CD4_CXCL13	CD4_KLRB1	0.02810144480863599	-0.16107968653210555	0.06118390525269737	0.0035640908930661	-0.17075183422928836
CD4_KLRB1->T_MKI67	CD4_KLRB1	T_MKI67	0.01144428606691351	0.0035640908930661	-0.17075183422928836	0.3221173238475757	0.1120220195887803
CD8_ANXA1->CD8_CCL5	CD8_ANXA1	CD8_CCL5	0.03517397586249765	0.44921694034885007	-0.2841561774317659	0.8427294084095255	-0.08285967262375184
CD8_ANXA1->CD8_CXCL13	CD8_ANXA1	CD8_CXCL13	0.01614335705729911	0.44921694034885007	-0.2841561774317659	0.7809440965002276	0.5103815243038091
CD8_ANXA1->CD8_FOS	CD8_ANXA1	CD8_FOS	0.02286557083941532	0.44921694034885007	-0.2841561774317659	0.3481401270001603	-0.2930697342203742
CD8_ANXA1->CD8_GZMK	CD8_ANXA1	CD8_GZMK	0.01544172191371669	0.44921694034885007	-0.2841561774317659	0.654850977444354	-0.2657534061837355
CD8_ANXA1->CD8_IFIT1	CD8_ANXA1	CD8_IFIT1	0.01054673844769163	0.44921694034885007	-0.2841561774317659	0.4444235689085628	-0.10561343311326596
CD8_ANXA1->T_Mito	CD8_ANXA1	T_Mito	0.01180325195267835	0.44921694034885007	-0.2841561774317659	0.18471069273661125	-0.07486414163307066
CD8_CCL5->CD8_CX3CR1	CD8_CCL5	CD8_CX3CR1	0.01277207778189765	0.8427294084095255	-0.08285967262375184	0.9902034125668278	-0.3559573778319592
CD8_CCL5->CD8_CXCL13	CD8_CCL5	CD8_CXCL13	0.04686939233927687	0.8427294084095255	-0.08285967262375184	0.7809440965002276	0.5103815243038091
CD8_CCL5->CD8_FOS	CD8_CCL5	CD8_FOS	0.02152008845306744	0.8427294084095255	-0.08285967262375184	0.3481401270001603	-0.2930697342203742
CD8_CCL5->CD8_GZMK	CD8_CCL5	CD8_GZMK	0.04090421504424869	0.8427294084095255	-0.08285967262375184	0.654850977444354	-0.2657534061837355
CD8_CCL5->CD8_IFIT1	CD8_CCL5	CD8_IFIT1	0.01691118752558623	0.8427294084095255	-0.08285967262375184	0.4444235689085628	-0.10561343311326596
CD8_CCL5->CD8_TYMS	CD8_CCL5	CD8_TYMS	0.02442725298984544	0.8427294084095255	-0.08285967262375184	0.508437609318502	0.26732562597304077
CD8_CCL5->T_Mito	CD8_CCL5	T_Mito	0.01438642973053118	0.8427294084095255	-0.08285967262375184	0.18471069273661125	-0.07486414163307066
CD8_CCL5->T_MKI67	CD8_CCL5	T_MKI67	0.02233090449931637	0.8427294084095255	-0.08285967262375184	0.3221173238475757	0.1120220195887803
CD8_CCL5->T_Ribo	CD8_CCL5	T_Ribo	0.01166531718999097	0.8427294084095255	-0.08285967262375184	0.23379748203423675	-0.1925387180772601
CD8_CX3CR1->CD8_FOS	CD8_CX3CR1	CD8_FOS	0.01119966738967994	0.9902034125668278	-0.3559573778319592	0.3481401270001603	-0.2930697342203742
CD8_CX3CR1->CD8_GZMK	CD8_CX3CR1	CD8_GZMK	0.01302937074304154	0.9902034125668278	-0.3559573778319592	0.654850977444354	-0.2657534061837355
CD8_CXCL13->CD8_GZMK	CD8_CXCL13	CD8_GZMK	0.01129706798048987	0.7809440965002276	0.5103815243038091	0.654850977444354	-0.2657534061837355
CD8_CXCL13->CD8_IFIT1	CD8_CXCL13	CD8_IFIT1	0.01098522525649338	0.7809440965002276	0.5103815243038091	0.4444235689085628	-0.10561343311326596
CD8_CXCL13->CD8_TYMS	CD8_CXCL13	CD8_TYMS	0.06268003553088237	0.7809440965002276	0.5103815243038091	0.508437609318502	0.26732562597304077
CD8_CXCL13->T_Mito	CD8_CXCL13	T_Mito	0.01708241769077685	0.7809440965002276	0.5103815243038091	0.18471069273661125	-0.07486414163307066
CD8_CXCL13->T_MKI67	CD8_CXCL13	T_MKI67	0.05027212846835104	0.7809440965002276	0.5103815243038091	0.3221173238475757	0.1120220195887803
CD8_CXCL13->T_Ribo	CD8_CXCL13	T_Ribo	0.01013128723846626	0.7809440965002276	0.5103815243038091	0.23379748203423675	-0.1925387180772601
CD8_FOS->CD8_GZMK	CD8_FOS	CD8_GZMK	0.07235724818734411	0.3481401270001603	-0.2930697342203742	0.654850977444354	-0.2657534061837355
CD8_FOS->CD8_IFIT1	CD8_FOS	CD8_IFIT1	0.01243730638092759	0.3481401270001603	-0.2930697342203742	0.4444235689085628	-0.10561343311326596
CD8_FOS->T_Mito	CD8_FOS	T_Mito	0.01492897815573852	0.3481401270001603	-0.2930697342203742	0.18471069273661125	-0.07486414163307066
CD8_FOS->T_Ribo	CD8_FOS	T_Ribo	0.01082641589555258	0.3481401270001603	-0.2930697342203742	0.23379748203423675	-0.1925387180772601
CD8_GZMK->CD8_IFIT1	CD8_GZMK	CD8_IFIT1	0.02318516343534843	0.654850977444354	-0.2657534061837355	0.4444235689085628	-0.10561343311326596
CD8_GZMK->T_Mito	CD8_GZMK	T_Mito	0.01833680689397093	0.654850977444354	-0.2657534061837355	0.18471069273661125	-0.07486414163307066
CD8_GZMK->T_Ribo	CD8_GZMK	T_Ribo	0.01325260132592433	0.654850977444354	-0.2657534061837355	0.23379748203423675	-0.1925387180772601
CD8_TYMS->T_MKI67	CD8_TYMS	T_MKI67	0.03274821049257463	0.508437609318502	0.26732562597304077	0.3221173238475757	0.1120220195887803
T_MKI67->Treg_TNFRSF4	T_MKI67	Treg_TNFRSF4	0.01096710124031654	0.3221173238475757	0.1120220195887803	-0.16880027758080782	0.04258621822487454
Treg_LTB->Treg_TNFRSF4	Treg_LTB	Treg_TNFRSF4	0.02980691468290782	-0.2105662278285708	-0.2303522400175631	-0.16880027758080782	0.04258621822487454
